Name,CBO,NOC,WMC,RFC,NPRM,NPROM,NPM,LOC,DIT,LCOM,Changes
org.apache.tapestry5.func.TakeDropTests,3,0,10,25,0,0,10,59,2,0,No
org.apache.tapestry5.func.Tuple,3,0,7,19,0,2,4,45,0,57,No
org.apache.tapestry5.func.TupleTests,1,0,6,21,0,0,5,34,2,0,No
org.apache.tapestry5.func.ZippedFlowImpl,15,0,28,40,1,0,26,185,0,21,No
org.apache.tapestry5.func.ZippedFlowTests,13,0,21,36,0,0,21,166,2,68,No
org.apache.tapestry5.grid.GridConstants,1,0,0,12,0,0,0,15,0,0,No
org.apache.tapestry5.grid.GridPaginationModelImpl,4,0,7,22,0,0,7,46,1,67,No
org.apache.tapestry5.grid.SortConstraint,3,0,4,16,0,0,4,29,0,25,No
org.apache.tapestry5.hibernate.HibernateConstants,2,0,0,12,0,0,0,5,0,0,No
org.apache.tapestry5.hibernate.HibernateGridDataSource,8,0,6,18,0,1,5,60,0,54,No
org.apache.tapestry5.hibernate.HibernatePersistenceConstants,1,0,0,12,0,0,0,4,0,0,No
org.apache.tapestry5.hibernate.HibernateSymbols,1,0,0,12,0,0,0,7,0,0,No
org.apache.tapestry5.hibernate.integration.TapestryHibernateIntegrationTests,5,0,8,207,0,1,7,94,2,87,No
org.apache.tapestry5.hibernate.modules.HibernateCoreModule,25,0,7,19,0,0,7,62,0,0,No
org.apache.tapestry5.hibernate.modules.HibernateModule,26,0,9,21,0,0,9,88,0,0,No
org.apache.tapestry5.integration.activationctx.ActivationContextIntegrationTests,1,0,10,212,2,0,8,65,3,90,No
org.apache.tapestry5.integration.activationctx.pages.NoContext,0,0,0,12,0,0,0,3,0,0,No
org.apache.tapestry5.integration.activationctx.pages.OneContext,2,0,0,12,0,0,0,5,0,0,No
org.apache.tapestry5.integration.activationctx.pages.TwoContext,1,0,1,13,0,0,0,6,0,0,No
org.apache.tapestry5.integration.activationctx2.ActivationContextIntegrationTests2,0,0,5,207,0,0,5,33,3,0,No
org.apache.tapestry5.integration.activationctx2.pages.ContextChecked,0,0,0,12,0,0,0,3,0,0,No
org.apache.tapestry5.integration.activationctx2.pages.ContextUnchecked,0,0,0,12,0,0,0,3,0,0,No
org.apache.tapestry5.integration.app0.services.FooModule,2,0,1,13,0,0,1,7,0,0,No
org.apache.tapestry5.integration.app1.AjaxTests,0,0,10,212,1,0,9,143,4,0,Yes
org.apache.tapestry5.integration.app1.App1TestCase,0,16,0,202,0,0,0,3,3,0,No
org.apache.tapestry5.integration.app1.AssetTests,9,0,6,208,3,0,3,53,4,0,No
org.apache.tapestry5.integration.app1.base.BaseComponent,2,1,0,12,0,0,0,6,0,0,No
org.apache.tapestry5.integration.app1.base.BaseEventHandlerDemo,6,1,6,18,2,1,0,37,0,66,No
org.apache.tapestry5.integration.app1.base.BaseLayoutPage,5,1,1,13,0,0,1,17,0,100,No
org.apache.tapestry5.integration.app1.base.EmptyExtendTemplate,0,1,0,13,0,0,0,3,1,0,No
org.apache.tapestry5.integration.app1.base.GenericEditor,9,1,3,15,0,0,3,27,0,75,No
org.apache.tapestry5.integration.app1.base.InheritBase,1,2,1,13,0,0,1,7,0,0,No
org.apache.tapestry5.integration.app1.base.OverrideEventHandlerDemoBaseClass,4,1,2,14,0,1,1,15,0,50,No
org.apache.tapestry5.integration.app1.base.ParameterBaseClass,2,1,0,12,0,0,0,5,0,0,No
org.apache.tapestry5.integration.app1.BeanEditorTests,3,0,11,213,0,0,11,117,4,0,No
org.apache.tapestry5.integration.app1.CacheTests,1,0,3,205,0,0,3,33,4,0,No
org.apache.tapestry5.integration.app1.ChattyValidationDecorator,3,0,7,19,0,0,7,38,0,28,No
org.apache.tapestry5.integration.app1.ClientDataWrapper,2,0,3,15,0,0,3,17,0,0,No
org.apache.tapestry5.integration.app1.components.AbstractComponent,0,0,0,12,0,0,0,3,0,0,No
org.apache.tapestry5.integration.app1.components.AbstractTracer,3,1,2,14,0,0,0,13,0,0,No
org.apache.tapestry5.integration.app1.components.ActionLinkIndirect,4,0,2,14,0,0,0,14,0,50,No
org.apache.tapestry5.integration.app1.components.BadPublishDuplicate,3,0,0,12,0,0,0,7,0,0,No
org.apache.tapestry5.integration.app1.components.BadPublishUnknown,2,0,0,12,0,0,0,5,0,0,No
org.apache.tapestry5.integration.app1.components.BeanEditContextVerifier,4,0,1,13,0,0,0,9,0,0,No
org.apache.tapestry5.integration.app1.components.BindParameterComponent,1,0,0,12,0,0,0,5,0,0,No
org.apache.tapestry5.integration.app1.components.BindParameterComponentContainer,2,0,0,12,0,0,0,5,0,0,No
org.apache.tapestry5.integration.app1.components.Border,4,0,2,14,0,0,1,17,0,50,Yes
org.apache.tapestry5.integration.app1.components.Count,3,0,2,14,0,0,0,39,0,12,No
org.apache.tapestry5.integration.app1.components.Echo,4,0,1,13,0,0,0,10,0,0,No
org.apache.tapestry5.integration.app1.components.ErrorComponent,5,0,1,13,0,0,0,9,0,0,No
org.apache.tapestry5.integration.app1.components.GenericTypeDisplay,8,0,1,13,0,0,0,16,0,33,No
org.apache.tapestry5.integration.app1.components.HelloWorld,2,0,1,13,0,0,0,8,0,0,No
org.apache.tapestry5.integration.app1.components.InheritBottom,1,0,0,12,0,0,0,6,0,0,No
org.apache.tapestry5.integration.app1.components.InheritMiddle,1,0,0,12,0,0,0,6,0,0,No
org.apache.tapestry5.integration.app1.components.InheritTop,1,0,0,12,0,0,0,6,0,0,No
org.apache.tapestry5.integration.app1.components.Inner,5,0,1,13,0,0,0,11,0,0,No
org.apache.tapestry5.integration.app1.components.IntArrayWriter,3,0,1,13,0,0,0,17,0,0,No
org.apache.tapestry5.integration.app1.components.ListInformals,5,0,1,13,0,0,0,19,0,0,No
org.apache.tapestry5.integration.app1.components.OuterAny,2,0,0,12,0,0,0,5,0,0,No
org.apache.tapestry5.integration.app1.components.OutputDate,4,0,1,13,0,0,0,12,0,0,No
org.apache.tapestry5.integration.app1.components.OutputRating,2,0,1,13,0,0,0,16,0,0,No
org.apache.tapestry5.integration.app1.components.ParameterSubClass,2,0,0,12,0,0,0,5,1,0,No
org.apache.tapestry5.integration.app1.components.PrimitiveDefault,3,0,2,14,0,0,0,13,0,50,No
